id,name,description,url,external_id,created_at,updated_at,last_scraped_at,is_active,is_featured,discovery_method,platform_name,platform_url,platform_description
2135,FluidAudio,"Native Swift and CoreML SDK for local speaker diarization, VAD, and speech-to-text for real-time workloads. Works on iOS and macOS.",https://github.com/FluidInference/FluidAudio,,2025-09-18T10:56:43.696367,2025-09-18T10:56:43.696367,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2144,GO-SIMPLE,These are simple examples for useful daily use in your projects.,https://github.com/Gitart/GO-SIMPLE,,2025-09-18T10:56:43.696694,2025-09-18T10:56:43.696695,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2191,GauchoRevise,Vibe-coded application: GauchoRevise,https://github.com/Salshriaan/GauchoRevise,,2025-09-18T10:56:43.698622,2025-09-18T10:56:43.698623,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2262,GenAI,Vibe-coded application: GenAI,https://github.com/mlvats/GenAI,,2025-09-18T10:56:43.702455,2025-09-18T10:56:43.702456,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2809,GitHubPageMaker,Repo for jekyll source folder,https://github.com/heuristicwave/GitHubPageMaker,,2025-09-18T10:56:43.756348,2025-09-18T10:56:43.756349,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2467,Guardian-AA-A-Zero-Knowledge-AI-Wallet-Copilot,"Thesis: By 2026 every wallet will embed an LLM that watches approvals, suggests optimal gas routes, and blocks drainer contracts. The blocker: users won’t trust an opaque model signing on their behalf.",https://github.com/tuaregsand/Guardian-AA-A-Zero-Knowledge-AI-Wallet-Copilot,,2025-09-18T10:56:43.718324,2025-09-18T10:56:43.718324,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2803,Harrizone,Vibe-coded application: Harrizone,https://github.com/harrisonhxy/Harrizone,,2025-09-18T10:56:43.755701,2025-09-18T10:56:43.755702,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2184,HodlHut,Coming soon,https://github.com/crypdrag/HodlHut,,2025-09-18T10:56:43.698362,2025-09-18T10:56:43.698362,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2170,HolisticWare.WebSite.Notes,Everyday notes,https://github.com/HolisticWare-Applications/HolisticWare.WebSite.Notes,,2025-09-18T10:56:43.697718,2025-09-18T10:56:43.697719,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2140,HuggingArxiv,Vibe-coded application: HuggingArxiv,https://github.com/HuggingAGI/HuggingArxiv,,2025-09-18T10:56:43.696578,2025-09-18T10:56:43.696579,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2203,HuggingArxivLLM,Vibe-coded application: HuggingArxivLLM,https://github.com/HuggingAGI/HuggingArxivLLM,,2025-09-18T10:56:43.698992,2025-09-18T10:56:43.698992,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2666,IPLibrary-website,Vibe-coded application: IPLibrary-website,https://github.com/InternetPublicLibrary/IPLibrary-website,,2025-09-18T10:56:43.738249,2025-09-18T10:56:43.738250,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2293,ISSPA,ISSPA Index by VitePress,https://github.com/SeddonShen/ISSPA,,2025-09-18T10:56:43.703967,2025-09-18T10:56:43.703967,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2490,ImGuiX,"Build complex UIs with Dear ImGui — structured with controllers, an event bus, and MVC-inspired architecture.",https://github.com/NewYaroslav/ImGuiX,,2025-09-18T10:56:43.720198,2025-09-18T10:56:43.720198,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2434,InfoDocs,Vibe-coded application: InfoDocs,https://github.com/liborsvoboda/InfoDocs,,2025-09-18T10:56:43.715027,2025-09-18T10:56:43.715028,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2122,Insight_Ingenious_For_Fabric,"Framework for Accelerated Microsoft Fabric Development, Testing and Deployment",https://github.com/Insight-Services-APAC/Insight_Ingenious_For_Fabric,,2025-09-18T10:56:43.693945,2025-09-18T10:56:43.693946,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
29,Jbbrack03/x86toARMJit,A jit that converts OG Xbox x86 to ARM for mobile devices,https://github.com/Jbbrack03/x86toARMJit,987195572,2025-09-17 23:48:56,2025-09-18 18:03:33,2025-09-17 23:48:56,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
18,Jimuelzxc/yourfine,Prompt Refining & Saving Tool,https://github.com/Jimuelzxc/yourfine,1043568442,2025-09-17 23:48:56,2025-09-18 18:03:33,2025-09-17 23:48:56,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2206,JinyongShin.github.io,Vibe-coded application: JinyongShin.github.io,https://github.com/JinyongShin/JinyongShin.github.io,,2025-09-18T10:56:43.699184,2025-09-18T10:56:43.699184,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
70,Joseph19820124/e-commerce-microservices-sample,A sample e-commerce application built with microservices architecture,https://github.com/Joseph19820124/e-commerce-microservices-sample,1008114110,2025-09-17 23:48:56,2025-09-18 18:03:33,2025-09-17 23:48:56,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2723,LAS-FOCAS,Vibe-coded application: LAS-FOCAS,https://github.com/CARuizDiazFP/LAS-FOCAS,,2025-09-18T10:56:43.745541,2025-09-18T10:56:43.745542,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
